Model,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev
cnf/CDL/am31_sim.dimacs,48.502981422334,48.8599429351743,1.25070572400736,52.9649137949524,52.9310712825973,0.271589049966585,40.7681450086855,40.6484736000421,0.287304959308914
cnf/CDL/ea2468.dimacs,78.4660654915869,78.7364106482127,1.02574459349982,181.885477889362,182.225454539061,0.845662388272032,135.284429456117,135.186483638478,0.985849856468015
cnf/CDL/p2106.dimacs,54.9808081332315,55.1662884079851,0.690109085644304,90.6160181887448,90.3783699622145,0.546167862976365,64.1000282276887,64.2221693163737,0.554444414382638
cnf/KConfig/axTLS.dimacs,20.5990631844522,19.7276625396917,1.60115205769833,2.31847372444812,2.31715884117876,0.033608209714211,2.40377071093069,2.35671708954032,0.152870128577199
cnf/KConfig/busybox-1.18.0.dimacs,28.2565307549573,28.3198986080242,0.260089367401598,3.14736684990581,3.17068588058464,0.096388485876338,3.05452912815614,3.05550851905719,0.057223412133481
cnf/KConfig/embtoolkit.dimacs,32.6921399091789,33.4267545688199,1.59778664020276,5.42238181567285,5.44566440500785,0.071704477219225,5.31073603710858,5.32219378912123,0.059949031875297
cnf/KConfig/linux-2.6.33.3.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/KConfig/uClibc.dimacs,25.4475563406246,26.6473754878389,2.11089488579835,3.55177220901474,3.58824833878315,0.173332203059325,2.9625966076483,2.95406360120978,0.098345066279395
cnf/KConfig/uClinux-base.dimacs,27.3286442504311,28.8940120137995,2.28919139834365,4.46198959028814,4.52736577542964,0.266569552592196,3.98976151428884,4.01542369218078,0.13338980285021
cnf/KConfig/uClinux-distribution.dimacs,35.1397260642005,34.8426328401547,0.784376326474572,4.31779357938096,4.36430243577343,0.188873923733742,3.75874967905926,3.75807658740086,0.051559946733996
cnf/Smarch/2.6.28.6-icse11.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/Smarch/2.6.32-2var.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/Smarch/2.6.33.3-2var.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/Smarch/7z.dimacs,18.2805475057289,18.1189919628669,1.78187007145757,1.80200339757372,1.79208394698798,0.053595885030183,1.9139338289923,1.91877745330567,0.02555943581606
cnf/Smarch/BerkeleyDBC.dimacs,12.3686792425485,11.9511933969334,1.15073620199297,1.33564381094649,1.33352289081086,0.028438836510009,1.44716345354682,1.44343187962658,0.028162418074006
cnf/Smarch/Dune.dimacs,13.1497803065367,12.152429208043,1.43491364813676,1.33603588114027,1.3292114896467,0.027341420883068,1.44095196484122,1.43577134481166,0.03100911168148
cnf/Smarch/HiPAcc.dimacs,17.7824603019701,16.7573199077742,1.88331082851418,1.79945513516199,1.78762951598037,0.047951070082915,1.93523001373746,1.9312297271099,0.048732611778462
cnf/Smarch/JHipster.dimacs,17.317340020244,16.0871162008261,1.79138765782289,1.82243771118112,1.82602719904389,0.062056484074384,1.92827235232573,1.93228870851454,0.060652619012718
cnf/Smarch/JavaGC.dimacs,17.4186456485745,16.3726544418605,1.71703826166141,1.78679686449468,1.77414994616993,0.044501587164948,1.93728720656131,1.92961220303551,0.084621251484865
cnf/Smarch/LLVM.dimacs,12.893961019679,11.9946610981133,1.33246726357198,1.33406611608807,1.32808357127943,0.025694223266232,1.45407376184128,1.44407823338406,0.038094055008638
cnf/Smarch/Polly.dimacs,17.4020397688216,16.3250644865912,1.70802529788273,1.79484838894103,1.78847635968123,0.049257161948716,1.97420012006536,1.91350663779303,0.153262626311285
cnf/Smarch/VP9.dimacs,17.0712393448828,16.1612624479458,1.60333246493964,1.79239373967983,1.78571266646031,0.040012973216578,1.92052386643598,1.91439505532616,0.056216367096829
cnf/Smarch/X264.dimacs,12.9472277741367,11.9714582517045,1.37095559086331,1.33667483087629,1.32891689555254,0.039290177080446,1.45320059319492,1.44702847918962,0.041868377303482
cnf/Smarch/adderII.dimacs,63.3286135088978,63.466318027582,1.24780785044406,285.406017588363,285.382262697909,0.631328486975073,175.554666996808,174.379751047178,3.38967146321012
cnf/Smarch/at91sam7sek.dimacs,64.1880737520428,64.3006581641967,1.24601539499895,220.765852798414,220.395882765995,1.35273799937278,151.348710522109,151.195881009102,0.675297834200886
cnf/Smarch/axTLS.dimacs,25.6114709149254,26.7067558241542,2.2065587856974,3.26304106194992,3.29333538736682,0.100250072086313,3.35271911456017,3.34127272019396,0.054158923205912
cnf/Smarch/axtls_2_1_4.dimacs,23.8051465010736,25.194484135951,2.23950954764241,2.30176493099891,2.30843188497238,0.061111605011091,2.42832091239281,2.38995408470509,0.149907209986451
cnf/Smarch/buildroot.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/Smarch/busybox-1.18.0.dimacs,36.6884836331895,36.1295559494756,3.02492715680731,14.3865472580306,14.5481489058584,0.549766467492377,12.4102989209513,12.4617694023182,0.238064292408102
cnf/Smarch/busybox_1_28_0.dimacs,36.0020322877727,36.0262761155609,0.700764469352632,26.860106273219,26.844294529059,0.126284130104929,26.2123731405986,26.2140986547457,0.150271517485578
cnf/Smarch/ecos-icse11.dimacs,63.8899068747833,64.1030515874736,0.821310326268439,606.277041200525,606.068059059326,0.959246464259824,475.725661406973,475.420042235055,1.34487532934464
cnf/Smarch/embtoolkit.dimacs,1800,1800,0,1193.9846685341,1190.38639315672,7.22941218574547,792.453585563768,792.394512871746,3.48073023135368
cnf/Smarch/fiasco.dimacs,23.7001255495939,23.3571252245456,1.12673544281804,4.68914182012901,4.6887036516564,0.067658563688995,4.51117987343809,4.48931480682223,0.08364951821355
cnf/Smarch/fiasco_17_10.dimacs,23.8900846117269,24.9510295457439,2.31222441342308,2.58425476680975,2.58436968794558,0.037783643476939,2.78016608031001,2.78150622866815,0.073838206967641
cnf/Smarch/freebsd-icse11.dimacs,410.77189985096,411.003253806266,1.72998438323727,1800,1800,0,1800,1800,0
cnf/Smarch/freetz.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/Smarch/integrator_arm9.dimacs,208.505024236767,208.296254209359,1.43310766608343,407.796913468307,407.796353829326,0.839017911766597,279.691392931384,279.422126015648,1.96358550424776
cnf/Smarch/lrzip.dimacs,11.5746382912807,11.5970258355374,0.071384597274273,1.34340896277688,1.34244817704894,0.030055068163588,1.43794811257161,1.43020268413238,0.03151379403528
cnf/Smarch/m5272c3.dimacs,62.2514005333558,62.4864729624242,1.22847928010024,184.684497419447,184.836119110231,0.690805025347159,145.644861696572,145.938862737618,0.838864405928296
cnf/Smarch/olpce2294.dimacs,66.2032516786782,66.5412585048471,1.20522557760605,298.435863622185,298.520625537261,1.50014975102962,182.82856043397,182.664048606181,1.3371267633993
cnf/Smarch/pati.dimacs,62.6882679655682,62.6608815038344,0.456304071808331,183.854070555856,183.234354299726,1.39914490285456,124.589935868676,124.386541134445,0.566615441841109
cnf/Smarch/phycore229x.dimacs,68.7704583781306,68.7839896236546,0.453340269078872,343.518578214813,343.795113333268,1.41059545959862,217.242875299719,217.232304251869,0.404249013262086
cnf/Smarch/ref4955.dimacs,60.7858821169985,60.827012214344,0.872521014706983,223.725801745132,223.546081752283,1.06637293794949,135.722365108989,135.707672653371,0.281445418091511
cnf/Smarch/se77x9.dimacs,186.571326153972,186.59967393009,1.01859664063593,417.461284115119,417.252577038016,2.91937313842682,210.120566579946,209.893857368035,1.20109398831568
cnf/Smarch/toybox.dimacs,22.7498971303552,23.1470888169715,2.32924706117265,2.40982661302201,2.40973578463309,0.072359436582062,2.60844088766724,2.61960760992952,0.072179866915614
cnf/Smarch/toybox_0_7_5.dimacs,21.4180030635791,20.2799023538828,2.00199808959081,2.28970958659425,2.28837562189437,0.039055302443442,2.42038136087824,2.4137709211791,0.038433039767627
cnf/Smarch/uClibc-ng_1_0_29.dimacs,27.3966852044268,27.673430602299,0.840446995649725,2.68086374325678,2.67500493465922,0.056387183823416,2.84335077232216,2.83573851198889,0.049474524172794
cnf/Smarch/uClinux-config.dimacs,1800,1800,0,27.4938485613838,27.2473269505427,0.605535970882351,23.4300755773671,23.2597562622977,0.511181261306118
cnf/Smarch/uClinux.dimacs,24.6941869647102,25.5609395896318,1.81131937008595,3.6131358068902,3.62177144712768,0.069436707555716,3.32137584178243,3.33084002742544,0.080840004990165
cnf/automotive01/automotive01.dimacs,63.7594046456739,63.2958407106344,1.32680770002855,25.8697992123943,25.8465337723028,0.159804805053498,22.1352460228279,22.1469447296112,0.190679323836778
cnf/automotive02/automotive2_4.dimacs,1049.62009862665,1044.62994417048,9.54847689997328,128.834685945269,128.384519504616,0.882010035277926,113.924425283591,113.706617701915,1.08855219679863
cnf/featureide_examples/berkeleydb.dimacs,21.876168980808,20.5351535696537,2.34790379914531,2.25115908366628,2.25265278643928,0.050683100244165,2.52573572720401,2.49285834049806,0.09310669070217
cnf/financial_services/financialServices_2018-05-09.dimacs,50.4969369087182,50.387441718136,1.1402783843806,5.0649966062326,5.08145510288887,0.068343520253791,5.30763510152698,5.28294320148416,0.105402905343998
cnf/confidential/automotive03/03latest.dimacs,32.781214573402,33.7871780694695,2.12869356873816,4.07581226857379,4.0759792777244,0.07415053526753,4.32713566773105,4.31796524662059,0.083720134420037
cnf/confidential/automotive03/automotive03.dimacs,23.8612508745352,24.4853570306441,2.13661669749998,2.59613312399946,2.59646349819377,0.055916203240186,2.84605069537647,2.77496176515706,0.154490906176016
cnf/confidential/automotive03/automotive03_sw.dimacs,46.3159975601174,46.2668811889598,0.728632598770647,6.80509889553301,6.82051033433527,0.068320821734497,6.80767381895334,6.79844019096345,0.084270147410519
cnf/confidential/automotive04/04latest.dimacs,28.9539071616903,29.2341524846852,2.09770600685129,3.73990222986788,3.73821501177735,0.061504631145544,3.82468000198714,3.80877133738249,0.088040287132957
cnf/confidential/automotive05/05latest.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/confidential/automotive06/automotive06.dimacs,26.6197660276433,27.111572097172,1.32145847581792,2.99703695802018,2.99842828605324,0.141548955331785,2.98186009867582,2.97684457281139,0.052317398022875
cnf/confidential/automotive06/automotive06_sw.dimacs,56.8729205065267,56.7629673738266,0.359160330892289,7.89931355154142,7.80727297463455,0.184239449041774,7.67065634907689,7.66854549152777,0.058651187281357
cnf/confidential/automotive07/automotive07.dimacs,31.2657176450081,32.8137088555377,2.48808762543904,5.21490938412957,5.14033103245311,0.167960045157701,4.98388190857135,4.979514838662,0.091479208616078
cnf/confidential/automotive07/automotive07_sw.dimacs,441.637172900574,441.498135378235,1.81736838890048,84.5153059571237,84.4444884860422,0.528910613493974,72.5620009867661,72.3676337960642,1.7460861748047
